Quantify Compound Summary Report 

Printed Fri Dec 04 12:11:50 2020

Compound 1:  tryptophan

	#	Name	Sample Text	Type	%Dev	Primary Flags	Conc.	Std. Conc	RT	Area	IS Area	Response
51	51	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00292_CV0076_54	COV00292_CV0076	Analyte		bd	0.390		0.77	526.595	81815.094	0.064
52	52	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00293_CV0078_55	COV00293_CV0078	Analyte		bb	0.304		0.76	413.080	84722.539	0.049
53	53	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00294_CV0082_56	COV00294_CV0082	Analyte		bb	1.220		0.77	1899.468	88079.563	0.216
54	54	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00295_CV0084_57	COV00295_CV0084	Analyte		bd	0.672		0.76	990.867	85610.164	0.116
55	55	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00296_CV0086_58	COV00296_CV0086	Analyte		bb	12.055		0.78	18043.936	82426.914	2.189
58	58	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00299_CV0085_61	COV00299_CV0085	Analyte		bb	2.802		0.77	4320.420	85751.875	0.504
59	59	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00300_CV0015_62	COV00300_CV0015	Analyte		bb	3.288		0.77	5190.515	87626.602	0.592
60	60	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00301_CV0027_63	COV00301_CV0027	Analyte		bb	0.662		0.77	891.737	78198.586	0.114
61	61	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00302_CV0032_64	COV00302_CV0032	Analyte		db	8.950		0.78	12813.391	78921.094	1.624
62	62	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00303_CV0047_65	COV00303_CV0047	Analyte		bb	0.925		0.77	1356.748	83778.305	0.162
63	63	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00304_CV0052_66	COV00304_CV0052	Analyte		bb	8.989		0.77	11470.784	70344.570	1.631
64	64	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00305_CV0057_67	COV00305_CV0057	Analyte		bb	19.181		0.77	30344.949	87025.414	3.487
65	65	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00306_CV0065_68	COV00306_CV0065	Analyte		dd	0.697		0.77	999.038	82963.781	0.120
66	66	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00307_CV0077_69	COV00307_CV0077	Analyte		bb	2.277		0.78	3550.094	86996.883	0.408
67	67	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00308_CV0080_70	COV00308_CV0080	Analyte		bb	1.897		0.78	3245.666	95777.219	0.339
70	70	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00311_CV0089_73	COV00311_CV0089	Analyte		bb	1.137		0.77	1775.766	88577.734	0.200
71	71	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00312_CV0093_74	COV00312_CV0093	Analyte		bd	2.325		0.76	3852.598	92413.664	0.417
72	72	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00313_CV0094_75	COV00313_CV0094	Analyte		bb	86.842		0.77	121982.203	77151.531	15.811
73	73	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00314_CV0033_76	COV00314_CV0033	Analyte		bb	3.015		0.76	4238.371	78111.375	0.543
74	74	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00315_CV0092_77	COV00315_CV0092	Analyte		dd	0.588		0.76	850.051	84659.367	0.100
75	75	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00316_CV0102_78	COV00316_CV0102	Analyte		MM	0.370		0.78	530.561	87197.695	0.061
76	76	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00317_CV0105_79	COV00317_CV0105	Analyte		bb	0.423		0.77	661.515	93933.367	0.070
77	77	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00318_CV0095_80	COV00318_CV0095	Analyte		dd	1.750		0.77	2749.007	88060.531	0.312
78	78	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00319_CV0003_81	COV00319_CV0003	Analyte		bb	1.975		0.77	3445.129	97551.398	0.353
79	79	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00320_CV0034_82	COV00320_CV0034	Analyte		db	3.563		0.78	6292.987	97966.547	0.642
82	82	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00323_CV0099_85	COV00323_CV0099	Analyte		bb	3.103		0.77	4924.648	88158.422	0.559
83	83	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00324_CV0039_86	COV00324_CV0039	Analyte		bb	1.289		0.78	2058.621	90206.328	0.228
84	84	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00325_CV0097_87	COV00325_CV0097	Analyte		bd	0.378		0.77	533.756	85722.719	0.062
85	85	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00326_CV0098_88	COV00326_CV0098	Analyte		db	1.063		0.77	1727.034	92367.453	0.187
86	86	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00327_CV0050_89	COV00327_CV0050	Analyte		bb	0.701		0.77	949.401	78393.695	0.121
87	87	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00328_CV0075_90	COV00328_CV0075	Analyte		bd	1.074		0.77	1617.814	85610.930	0.189
88	88	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00329_CV0079_91	COV00329_CV0079	Analyte		bb	1.936		0.77	3283.193	94901.633	0.346
89	89	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00330_CV0103_92	COV00330_CV0103	Analyte		dd	1.149		0.77	1810.150	89302.680	0.203
90	90	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00331_CV0104_93	COV00331_CV0104	Analyte		bb	4.505		0.76	6428.867	78989.844	0.814
91	91	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00332_CV0059_94	COV00332_CV0059	Analyte		bb	0.568		0.77	851.031	87887.109	0.097
94	94	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00335_CV0101_97	COV00335_CV0101	Analyte		bb	1.688		0.78	2933.388	97511.977	0.301
95	95	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00336_CV0056_98	COV00336_CV0056	Analyte		bb	94.114		0.76	134687.438	78602.547	17.135
96	96	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00337_CV0068_99	COV00337_CV0068	Analyte		MM	0.690		0.77	977.663	82099.297	0.119
97	97	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00338_CV0071_100	COV00338_CV0071	Analyte		bb	0.592		0.78	925.024	91313.492	0.101
98	98	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00339_CV0088_101	COV00339_CV0088	Analyte		bd	0.850		0.77	1380.195	93096.805	0.148
99	99	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00340_CV0106_102	COV00340_CV0106	Analyte		dd	0.353		0.76	580.616	100757.445	0.058
100	100	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00341_CV0107_103	COV00341_CV0107	Analyte		bb	0.705		0.76	1085.083	89147.227	0.122
101	101	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00342_CV0108_104	COV00342_CV0108	Analyte		dd	0.837		0.77	1365.767	93699.477	0.146
102	102	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00343_CV0109_105	COV00343_CV0109	Analyte		bd	0.638		0.78	1053.065	96043.789	0.110
103	103	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00344_CV0115_106	COV00344_CV0115	Analyte		bb	2.802		0.76	3842.243	76282.336	0.504
104	104	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_PLASMA LTR_107	PLASMA LTR	Analyte		bb	0.454		0.75	621.713	81792.594	0.076

Compound 16:  beta-nicotinamide mononucleotide

	#	Name	Sample Text	Type	%Dev	Primary Flags	Conc.	Std. Conc	RT	Area	IS Area	Response
1	1	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 8_4	Cal 8	Standard	-11.1	bbX	3.558	4.000	0.48	2303.347	2626919.250	0.009
2	2	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 7_5	Cal 7	Standard	14.4	MM	9.149	8.000	0.48	3922.602	1738460.625	0.023
3	3	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 6_6	Cal 6	Standard	-6.7	bb	14.931	16.000	0.47	11269.639	3059874.000	0.037
4	4	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 5_7	Cal 5	Standard	-7.0	bb	37.195	40.000	0.48	29707.936	3237423.000	0.092
5	5	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 4_8	Cal 4	Standard	-9.2	bb	54.450	60.000	0.48	37203.711	2769408.750	0.134
6	6	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 3_9	Cal 3	Standard	7.7	MM	107.653	100.000	0.48	60786.180	2288564.500	0.266
7	7	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 2_10	Cal 2	Standard	2.9	bb	205.761	200.000	0.48	123796.203	2438487.750	0.508
8	8	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 1_11	Cal 1	Standard	7.3	bb	429.385	400.000	0.48	205726.219	1941844.250	1.059
107	107	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 8_110	Cal 8	Standard	-0.9	bb	3.964	4.000	0.47	2330.573	2385271.250	0.010
108	108	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 7_111	Cal 7	Standard	-4.2	bb	7.662	8.000	0.47	6131.714	3245271.500	0.019
109	109	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 6_112	Cal 6	Standard	-2.0	bb	15.677	16.000	0.47	12721.578	3289607.750	0.039
110	110	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 5_113	Cal 5	Standard	-9.9	bb	36.055	40.000	0.47	34338.730	3860386.500	0.089
111	111	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 4_114	Cal 4	Standard	-7.4	bb	55.537	60.000	0.47	43686.082	3188284.250	0.137
112	112	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 3_115	Cal 3	Standard	5.7	bb	105.711	100.000	0.48	80407.508	3082898.250	0.261
113	113	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 2_116	Cal 2	Standard	5.3	MM	210.670	200.000	0.47	148825.891	2863202.000	0.520
114	114	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 1_117	Cal 1	Standard	4.1	MM	416.435	400.000	0.48	126828.359	1234359.000	1.027
32	32	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_QC 5_35	QC 5	QC	-5.3	bb	15.145	16.000	0.48	11198.172	2997420.000	0.037
44	44	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_QC 2_47	QC 2	QC	3.3	bb	330.427	320.000	0.48	225824.391	2769924.500	0.815
56	56	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_QC 6_59	QC 6	QC	6.8	bd	8.547	8.000	0.48	4917.731	2332961.500	0.021
68	68	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_QC 4_71	QC 4	QC	5.6	MM	42.237	40.000	0.48	31622.494	3034663.250	0.104
80	80	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_QC 1_83	QC 1	QC	2351.4	bb	9805.416	400.000	0.48	218974.750	90509.922	24.193
92	92	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_QC 3_95	QC 3	QC	-11.9	bb	140.953	160.000	0.48	88963.953	2558119.000	0.348
9	9	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_12	Double Blank	Blank		db	7136.285		0.51	18.710	10.626	17.608
21	21	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_24	Double Blank	Blank		dd			0.47	36.321		
33	33	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_36	Double Blank	Blank								
45	45	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_48	Double Blank	Blank		bd			0.47	12.854		
57	57	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_60	Double Blank	Blank		db	1067.455		0.50	18.560	70.469	2.634
69	69	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_72	Double Blank	Blank							3.032	
81	81	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_84	Double Blank	Blank		bd			0.46	10.117		
93	93	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_96	Double Blank	Blank		bb	1852.767		0.42	7.712	16.870	4.571
105	105	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_108	Double Blank	Blank		bb	3875.801		0.49	3.895	4.073	9.563
106	106	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_109	Double Blank	Blank		bd	1215.649		0.47	10.004	33.353	2.999
10	10	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00251_CV0013_13	COV00251_CV0013	Analyte		bb	41.505		0.48	321.226	31370.080	0.102
11	11	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00252_CV0024_14	COV00252_CV0024	Analyte		bb	84.067		0.48	833.439	40182.445	0.207
12	12	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00253_CV0026_15	COV00253_CV0026	Analyte		bb	317.081		0.48	2348.733	30021.838	0.782
13	13	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00254_CV0001_16	COV00254_CV0001	Analyte		bb	158.335		0.48	1193.308	30546.020	0.391
14	14	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00255_CV0023_17	COV00255_CV0023	Analyte		bd	90.128		0.48	762.018	34268.406	0.222
15	15	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00256_CV0025_18	COV00256_CV0025	Analyte		bb	101.557		0.48	1074.406	42878.965	0.251
16	16	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00257_CV0010_19	COV00257_CV0010	Analyte		bd	73.361		0.48	891.119	49233.594	0.181
17	17	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00258_CV0034_20	COV00258_CV0034	Analyte		bb	59.940		0.48	807.230	54585.250	0.148
18	18	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00259_CV0038_21	COV00259_CV0038	Analyte		bd	109.227		0.48	726.042	26940.988	0.269
19	19	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00260_CV0040_22	COV00260_CV0040	Analyte		bb	62.561		0.48	463.789	30047.559	0.154
20	20	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_PLASMA LTR_23	PLASMA LTR	Analyte		bd	18.879		0.48	189.290	40645.094	0.047
22	22	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00263_CV0045_25	COV00263_CV0045	Analyte		bb	149.336		0.48	1845.156	50078.164	0.368
23	23	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00264_CV0003_26	COV00264_CV0003	Analyte		bb	73.316		0.48	784.292	43357.840	0.181
24	24	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00265_CV0037_27	COV00265_CV0037	Analyte		bb	67.662		0.48	409.922	24555.398	0.167
25	25	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00266_CV0039_28	COV00266_CV0039	Analyte		bd	47.913		0.48	615.719	52086.969	0.118
26	26	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00267_CV0044_29	COV00267_CV0044	Analyte		bb	166.184		0.48	871.869	21263.781	0.410
27	27	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00268_CV0047_30	COV00268_CV0047	Analyte		bb	139.968		0.49	1763.999	51079.941	0.345
28	28	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00269_CV0048_31	COV00269_CV0048	Analyte		bd	126.843		0.48	1393.546	44528.316	0.313
29	29	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00270_CV0006_32	COV00270_CV0006	Analyte		bb	33.626		0.48	430.038	51838.125	0.083
30	30	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00271_CV0011_33	COV00271_CV0011	Analyte		bb	173.301		0.48	1419.427	33196.344	0.428
31	31	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00272_CV0046_34	COV00272_CV0046	Analyte		bd	67.161		0.48	430.857	26002.020	0.166
34	34	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00275_CV0036_37	COV00275_CV0036	Analyte		bb	39.505		0.48	295.038	30271.770	0.097
35	35	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00276_CV0050_38	COV00276_CV0050	Analyte		bb	88.421		0.47	1354.273	62077.777	0.218
36	36	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00277_CV0001_39	COV00277_CV0001	Analyte		bb	40.082		0.48	615.917	62284.750	0.099
37	37	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00278_CV0056_40	COV00278_CV0056	Analyte		bd	166.785		0.48	626.581	15226.401	0.412
38	38	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00279_CV0058_41	COV00279_CV0058	Analyte		bb	98.738		0.48	758.362	31129.814	0.244
39	39	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00280_CV0059_42	COV00280_CV0059	Analyte		bd	44.685		0.48	371.364	33685.637	0.110
40	40	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00281_CV0074_43	COV00281_CV0074	Analyte		bd	214.658		0.49	826.893	15612.721	0.530
41	41	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00282_CV0051_44	COV00282_CV0051	Analyte		bd	72.906		0.48	721.763	40125.855	0.180
42	42	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00283_CV0060_45	COV00283_CV0060	Analyte		bd	58.358		0.48	875.018	60773.563	0.144
43	43	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00284_CV0049_46	COV00284_CV0049	Analyte		bb	25.465		0.48	223.581	35589.586	0.063
46	46	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00287_CV0073_49	COV00287_CV0073	Analyte		bb	19.374		0.48	228.475	47806.324	0.048
47	47	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00288_CV0064_50	COV00288_CV0064	Analyte		bb	72.929		0.48	1056.861	58736.301	0.180
48	48	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00289_CV0069_51	COV00289_CV0069	Analyte		bd	117.111		0.48	969.443	33551.254	0.289
49	49	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00290_CV0071_52	COV00290_CV0071	Analyte		bb	150.469		0.48	1024.093	27584.990	0.371
50	50	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00291_CV0072_53	COV00291_CV0072	Analyte		bb	54.621		0.48	439.254	32595.111	0.135
51	51	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00292_CV0076_54	COV00292_CV0076	Analyte		bb	44.519		0.48	574.412	52297.758	0.110
52	52	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00293_CV0078_55	COV00293_CV0078	Analyte		bb	63.849		0.47	837.521	53166.023	0.158
53	53	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00294_CV0082_56	COV00294_CV0082	Analyte		bb	61.267		0.48	490.974	32480.906	0.151
54	54	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00295_CV0084_57	COV00295_CV0084	Analyte		bb	102.622		0.48	1483.780	58602.340	0.253
55	55	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00296_CV0086_58	COV00296_CV0086	Analyte		bd	112.988		0.48	540.849	19401.152	0.279
58	58	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00299_CV0085_61	COV00299_CV0085	Analyte		bb	312.666		0.48	1443.780	18715.174	0.771
59	59	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00300_CV0015_62	COV00300_CV0015	Analyte		bb	430.427		0.48	2166.751	20402.404	1.062
60	60	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00301_CV0027_63	COV00301_CV0027	Analyte		bd	78.810		0.48	1221.558	62823.250	0.194
61	61	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00302_CV0032_64	COV00302_CV0032	Analyte		bb	57.782		0.48	537.524	37705.594	0.143
62	62	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00303_CV0047_65	COV00303_CV0047	Analyte		bb	92.711		0.48	1230.703	53803.211	0.229
63	63	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00304_CV0052_66	COV00304_CV0052	Analyte		bb	86.807		0.48	777.183	36287.410	0.214
64	64	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00305_CV0057_67	COV00305_CV0057	Analyte		bb	301.419		0.48	684.657	9206.097	0.744
65	65	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00306_CV0065_68	COV00306_CV0065	Analyte		bb	244.438		0.48	1008.195	16716.680	0.603
66	66	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00307_CV0077_69	COV00307_CV0077	Analyte		bd	35.849		0.48	419.018	47376.723	0.088
67	67	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00308_CV0080_70	COV00308_CV0080	Analyte		bd	40.667		0.48	428.981	42757.219	0.100
70	70	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00311_CV0089_73	COV00311_CV0089	Analyte		bb	83.490		0.48	1427.112	69280.977	0.206
71	71	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00312_CV0093_74	COV00312_CV0093	Analyte		bd	141.864		0.48	704.500	20127.445	0.350
72	72	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00313_CV0094_75	COV00313_CV0094	Analyte		bb	147.206		0.47	883.216	24317.607	0.363
73	73	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00314_CV0033_76	COV00314_CV0033	Analyte		bd	282.120		0.47	1251.699	17982.088	0.696
74	74	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00315_CV0092_77	COV00315_CV0092	Analyte		bb	64.472		0.48	1097.609	69003.219	0.159
75	75	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00316_CV0102_78	COV00316_CV0102	Analyte		bd	60.497		0.48	769.069	51525.828	0.149
76	76	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00317_CV0105_79	COV00317_CV0105	Analyte		bb	43.172		0.48	504.007	47319.230	0.107
77	77	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00318_CV0095_80	COV00318_CV0095	Analyte		bb	127.635		0.48	1318.691	41875.055	0.315
78	78	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00319_CV0003_81	COV00319_CV0003	Analyte		bd	37.240		0.48	551.660	60044.066	0.092
79	79	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00320_CV0034_82	COV00320_CV0034	Analyte		bd	32.738		0.49	410.512	50827.020	0.081
82	82	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00323_CV0099_85	COV00323_CV0099	Analyte		bd	70.814		0.48	936.257	53587.707	0.175
83	83	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00324_CV0039_86	COV00324_CV0039	Analyte		bb	24.587		0.48	357.585	58954.281	0.061
84	84	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00325_CV0097_87	COV00325_CV0097	Analyte		bb	143.444		0.48	1790.233	50583.105	0.354
85	85	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00326_CV0098_88	COV00326_CV0098	Analyte		bb	194.681		0.48	2903.177	60440.383	0.480
86	86	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00327_CV0050_89	COV00327_CV0050	Analyte		bb	157.752		0.47	1262.078	32425.701	0.389
87	87	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00328_CV0075_90	COV00328_CV0075	Analyte		bd	72.730		0.48	1177.879	65641.391	0.179
88	88	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00329_CV0079_91	COV00329_CV0079	Analyte		bb	35.893		0.48	760.606	85894.313	0.089
89	89	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00330_CV0103_92	COV00330_CV0103	Analyte		bb	148.284		0.48	1350.426	36911.078	0.366
90	90	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00331_CV0104_93	COV00331_CV0104	Analyte		bb	45.105		0.48	599.187	53844.414	0.111
91	91	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00332_CV0059_94	COV00332_CV0059	Analyte		bb	69.072		0.48	635.850	37311.520	0.170
